user_id,item_id,cat_id,seller_id,brand_id,time_stamp,action_type
234456,568,683,270,397.0,1110,0
234456,568,683,270,397.0,1110,0
234456,568,683,270,397.0,1110,0
234456,568,683,270,397.0,1110,0
234456,568,683,270,397.0,1111,2
203651,483,351,840,2668.0,1022,0
69247,568,683,270,397.0,1110,0
131526,611,177,1512,1580.0,1109,0
327584,489,420,3845,3156.0,708,0
249322,621,1553,4173,5376.0,1008,0
388640,628,737,1234,2103.0,527,0
269460,481,1331,318,4275.0,1007,3
91170,640,612,2246,394.0,1111,0
290029,495,464,4535,1720.0,1008,2
290029,495,464,4535,1720.0,1008,0
290029,495,464,4535,1720.0,1008,0
290029,495,464,4535,1720.0,1008,0
279140,567,662,2378,7536.0,627,0
207723,628,737,1234,2103.0,525,0
2401,628,737,1234,2103.0,527,0
65378,520,451,4826,7552.0,722,0
250227,628,737,1234,2103.0,525,0
205230,548,1216,2792,2431.0,803,0
205230,548,1216,2792,2431.0,803,2
205230,548,1216,2792,2431.0,803,0
15602,548,1216,2792,2431.0,610,2
354833,517,1255,1653,1345.0,628,0
59816,628,737,1234,2103.0,526,0
146649,588,1188,623,7047.0,1030,0
445,483,351,840,2668.0,722,0
371324,517,1255,1653,1345.0,624,0
371324,517,1255,1653,1345.0,624,0
371324,517,1255,1653,1345.0,624,0
60489,605,252,3544,977.0,925,0
296277,496,267,2115,6973.0,1103,0
295045,622,218,4703,2350.0,819,0
101790,608,1591,1993,5161.0,909,0
217993,481,1331,318,4275.0,1103,0
396132,548,1216,2792,2431.0,618,0
396132,548,1216,2792,2431.0,618,0
396132,548,1216,2792,2431.0,618,2
105864,517,1255,1653,1345.0,825,0
159731,568,683,270,397.0,1105,0
159731,568,683,270,397.0,1103,0
159731,568,683,270,397.0,1103,3
37456,628,737,1234,2103.0,525,0
259390,517,1255,1653,1345.0,1107,0
203432,611,177,1512,1580.0,1111,0
383766,506,177,1480,7069.0,628,0
292966,529,117,415,4292.0,1111,0
234709,557,115,1838,888.0,610,0
257183,575,1611,4175,3391.0,1107,3
257183,575,1611,4175,3391.0,1107,0
206636,558,662,1835,1374.0,1020,0
56706,481,1331,318,4275.0,1023,0
295945,528,407,1595,5800.0,627,0
339621,571,177,3121,1580.0,628,0
397114,600,1458,4107,2743.0,1111,0
117992,506,177,1480,7069.0,628,0
117992,528,407,1595,5800.0,524,0
222672,517,1255,1653,1345.0,1107,3
222672,517,1255,1653,1345.0,1107,0
222672,517,1255,1653,1345.0,1107,0
366072,548,1216,2792,2431.0,916,2
366072,548,1216,2792,2431.0,916,0
366072,548,1216,2792,2431.0,916,2
366072,548,1216,2792,2431.0,916,2
366072,548,1216,2792,2431.0,916,2
366072,548,1216,2792,2431.0,916,2
183132,568,683,270,397.0,1104,0
418742,617,748,3828,1446.0,1111,0
94341,493,1517,3741,4359.0,1018,0
94341,493,1517,3741,4359.0,1019,0
94341,493,1517,3741,4359.0,1019,2
128043,568,683,270,397.0,1109,0
128043,568,683,270,397.0,1109,0
274673,517,1255,1653,1345.0,1106,3
274673,517,1255,1653,1345.0,1106,0
274673,517,1255,1653,1345.0,1106,0
99685,568,683,270,397.0,1110,0
141307,617,748,3828,1446.0,1111,0
329315,501,737,1366,5779.0,905,0
349952,622,218,4703,2350.0,1105,0
349952,622,218,4703,2350.0,1105,0
318366,568,683,270,397.0,1108,0
318366,568,683,270,397.0,1108,0
318366,568,683,270,397.0,1108,0
318366,568,683,270,397.0,1111,0
318366,568,683,270,397.0,1111,2
318366,568,683,270,397.0,1107,0
318366,568,683,270,397.0,1110,0
318366,568,683,270,397.0,1110,0
335236,568,683,270,397.0,1111,0
197961,483,351,840,2668.0,925,0
309595,506,177,1480,7069.0,624,0
309595,506,177,1480,7069.0,624,0
64152,493,1517,3741,4359.0,617,0
64152,493,1517,3741,4359.0,617,3
64152,493,1517,3741,4359.0,617,0
184771,621,1553,4173,5376.0,925,0
305881,531,297,862,8281.0,1110,0
24240,517,1255,1653,1345.0,813,0
24240,493,1517,3741,4359.0,710,3
24240,493,1517,3741,4359.0,710,0
24240,517,1255,1653,1345.0,724,0
66609,638,812,4547,623.0,1111,0
10121,612,833,1923,4184.0,626,2
10121,612,833,1923,4184.0,626,0
10121,612,833,1923,4184.0,626,0
289120,483,351,840,2668.0,1025,0
264203,598,1095,2101,1191.0,1003,0
58013,558,662,1835,1374.0,821,0
266040,517,1255,1653,1345.0,524,0
266040,517,1255,1653,1345.0,524,0
266040,517,1255,1653,1345.0,524,0
266040,517,1255,1653,1345.0,524,0
266040,517,1255,1653,1345.0,524,0
225265,483,351,840,2668.0,708,0
361916,517,1255,1653,1345.0,904,2
361916,517,1255,1653,1345.0,904,0
217034,628,737,1234,2103.0,525,0
348498,591,369,71,2462.0,1023,0
23394,521,612,3984,7610.0,1110,0
378031,628,737,1234,2103.0,527,0
422987,517,1255,1653,1345.0,825,0
241180,575,1611,4175,3391.0,1101,0
326302,568,683,270,397.0,1111,0
97771,617,748,3828,1446.0,1024,0
416856,568,683,270,397.0,1105,0
305768,621,1553,4173,5376.0,822,0
272694,568,683,270,397.0,1108,0
404851,483,351,840,2668.0,825,0
268560,558,662,1835,1374.0,814,0
268560,558,662,1835,1374.0,814,0
269478,517,1255,1653,1345.0,1103,0
227868,617,748,3828,1446.0,1101,0
227868,617,748,3828,1446.0,1110,0
34584,628,737,1234,2103.0,527,0
